,OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost,totalcost,totalSales,Profit
23,SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-02-06,2018-06-22,2018-02-07,USD,24,19,218,15,3,0.4,1969.8,866.712,2600.136,3545.6399999999994,945.5039999999995
24,SO - 000125,In-Store,WARE-NMK1003,2018-10-04,2018-02-06,2018-06-16,2018-06-24,USD,4,15,173,13,1,0.15,268.0,131.32,131.32,227.79999999999998,96.47999999999999
25,SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-02-06,2018-06-21,2018-01-07,USD,18,46,110,24,7,0.1,174.2,95.81,670.6700000000001,1097.46,426.78999999999996
26,SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-02-06,2018-06-26,2018-06-07,USD,7,32,229,46,3,0.075,2988.2,2510.088,7530.264000000001,8292.255000000001,761.991
27,SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-02-06,2018-06-20,2018-06-29,USD,9,32,238,36,4,0.05,3999.9,2679.933,10719.732,15199.619999999999,4479.887999999999
28,SO - 000129,Distributor,WARE-NMK1003,2018-10-04,2018-02-06,2018-06-21,2018-06-22,USD,20,22,97,37,3,0.05,5976.4,2450.324,7350.972,17032.739999999998,9681.767999999998
29,SO - 000130,In-Store,WARE-NMK1003,2018-10-04,2018-02-06,2018-06-27,2018-06-29,USD,8,5,103,32,5,0.1,2901.1,2378.902,11894.51,13054.949999999999,1160.4399999999987
30,SO - 000131,In-Store,WARE-PUJ1005,2018-10-04,2018-03-06,2018-06-26,2018-05-07,USD,8,29,305,23,7,0.075,6076.9,2734.605,19142.235,39347.9275,20205.692499999997
31,SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-03-06,2018-05-06,2018-10-06,USD,13,35,303,14,7,0.2,5735.2,4186.696,29306.872,32117.12,2810.2479999999996
32,SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-03-06,2018-06-30,2018-10-07,USD,19,46,217,7,3,0.1,3919.5,2077.335,6232.005,10582.650000000001,4350.645000000001
33,SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-03-06,2018-06-30,2018-05-07,USD,17,42,362,46,1,0.05,6083.6,3832.668,3832.668,5779.42,1946.752
34,SO - 000135,Wholesale,WARE-MKL1006,2018-10-04,2018-03-06,2018-06-14,2018-06-15,USD,26,2,335,40,5,0.12,2566.1,1642.304,8211.52,11290.84,3079.3199999999997
35,SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-03-06,2018-07-06,2018-06-13,USD,22,28,84,38,2,0.075,2278.0,1093.44,2186.88,4214.3,2027.42
36,SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-03-06,2018-06-14,2018-06-21,USD,7,46,256,1,1,0.075,261.3,120.198,120.198,241.70250000000001,121.50450000000002
37,SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-03-06,2018-06-28,2018-08-07,USD,12,22,360,17,8,0.05,998.3,698.81,5590.48,7587.079999999999,1996.5999999999995
38,SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-03-06,2018-06-13,2018-06-21,USD,4,34,90,40,6,0.2,3497.4,1958.544,11751.264000000001,16787.52,5036.255999999999
39,SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-03-06,2018-06-18,2018-06-28,USD,9,26,196,25,4,0.05,1132.3,486.889,1947.556,4302.74,2355.1839999999997
40,SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-03-06,2018-06-15,2018-06-17,USD,7,26,40,2,7,0.05,2405.3,1587.498,11112.486,15995.244999999999,4882.758999999998
41,SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-03-06,2018-06-24,2018-03-07,USD,24,24,367,3,8,0.05,5701.7,3249.969,25999.752,43332.92,17333.167999999998
42,SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-04-06,2018-09-06,2018-06-16,USD,25,18,249,34,1,0.2,2452.2,1446.798,1446.798,1961.76,514.962
43,SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-04-06,2018-06-30,2018-04-07,USD,11,21,6,11,3,0.05,3095.4,2012.01,6036.03,8821.89,2785.8599999999997
44,SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-04-06,2018-12-06,2018-06-14,USD,15,14,212,8,4,0.4,3865.9,2164.904,8659.616,9278.16,618.5439999999999
45,SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-04-06,2018-10-06,2018-06-15,USD,23,3,37,11,8,0.1,2304.8,1382.88,11063.04,16594.56,5531.52
46,SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-04-06,2018-06-21,2018-06-24,USD,17,13,38,35,3,0.05,3195.9,1470.114,4410.342000000001,9108.315,4697.973
47,SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-04-06,2018-06-19,2018-06-26,USD,18,49,294,33,7,0.05,6452.1,5161.68,36131.76,42906.465,6774.7049999999945
48,SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-05-06,2018-06-14,2018-06-17,USD,24,4,105,16,3,0.3,2003.3,921.518,2764.554,4206.93,1442.3760000000002
49,SO - 000150,Distributor,WARE-XYS1001,2018-10-04,2018-05-06,2018-06-28,2018-07-07,USD,23,20,17,8,8,0.05,3638.1,1455.24,11641.92,27649.559999999998,16007.639999999998
50,SO - 000151,In-Store,WARE-NMK1003,2018-10-04,2018-05-06,2018-06-14,2018-06-17,USD,4,19,109,44,3,0.075,2278.0,1822.4,5467.200000000001,6321.450000000001,854.25
51,SO - 000152,Online,WARE-NMK1003,2018-10-04,2018-05-06,2018-06-25,2018-06-29,USD,16,25,141,22,6,0.3,924.6,582.498,3494.9880000000003,3883.32,388.3319999999999
52,SO - 000153,Online,WARE-NMK1003,2018-10-04,2018-05-06,2018-06-21,2018-01-07,USD,19,8,111,16,5,0.05,3926.2,3062.436,15312.18,18649.45,3337.2700000000004
53,SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-05-06,2018-12-06,2018-06-18,USD,23,24,349,25,4,0.075,3825.7,2257.163,9028.652,14155.09,5126.438
54,SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-05-06,2018-03-07,2018-08-07,USD,27,13,360,4,3,0.05,2257.9,1377.319,4131.957,6435.015,2303.058
55,SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-06-06,2018-02-07,2018-08-07,USD,24,32,148,33,8,0.075,1112.2,756.296,6050.368,8230.28,2179.9120000000003
56,SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-06,2018-06-22,2018-06-23,USD,19,28,103,45,8,0.05,3557.7,1814.427,14515.416,27038.519999999997,12523.103999999998
57,SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-09-06,2018-12-06,USD,13,8,59,45,3,0.4,2371.8,1233.336,3700.008,4269.240000000001,569.2320000000009
58,SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-01-07,2018-04-07,USD,14,47,60,1,1,0.4,857.6,686.08,686.08,514.56,-171.5200000000001
59,SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-07-06,2018-06-14,2018-06-16,USD,11,33,238,20,5,0.3,3892.7,2880.598,14402.99,13624.449999999999,-778.5400000000009
60,SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-07-06,2018-06-13,2018-06-15,USD,3,26,151,21,6,0.075,3477.3,1390.92,8345.52,19299.015000000003,10953.495000000003
61,SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-07-06,2018-11-06,2018-06-21,USD,13,20,152,44,5,0.1,3738.6,2803.95,14019.75,16823.699999999997,2803.949999999997
62,SO - 000163,Online,WARE-PUJ1005,2018-10-04,2018-07-06,2018-10-06,2018-06-13,USD,20,6,262,8,5,0.3,1072.0,589.6,2948.0,3752.0,804.0
63,SO - 000164,In-Store,WARE-NMK1003,2018-10-04,2018-07-06,2018-01-07,2018-02-07,USD,5,40,120,46,7,0.05,2257.9,1761.162,12328.134,15015.035,2686.901
64,SO - 000165,Online,WARE-UHY1004,2018-10-04,2018-07-06,2018-11-06,2018-06-13,USD,18,23,233,46,3,0.12,1058.6,751.606,2254.818,2794.7039999999997,539.8859999999995
65,SO - 000166,Online,WARE-NBV1002,2018-10-04,2018-07-06,2018-06-15,2018-06-25,USD,13,38,77,39,4,0.1,2492.4,1296.048,5184.192,8972.640000000001,3788.4480000000012
66,SO - 000167,In-Store,WARE-NBV1002,2018-10-04,2018-07-06,2018-06-13,2018-06-21,USD,4,30,69,11,5,0.05,3852.5,2465.6,12328.0,18299.375,5971.375
67,SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-08-06,2018-06-19,2018-06-25,USD,23,42,215,37,8,0.05,241.2,132.66,1061.28,1833.12,771.8399999999999
68,SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-08-06,2018-11-06,2018-06-17,USD,9,1,30,35,2,0.15,1051.9,494.393,988.786,1788.23,799.4440000000001
69,SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-08-06,2018-06-14,2018-06-19,USD,25,11,169,10,5,0.3,227.8,107.066,535.33,797.3000000000001,261.97
70,SO - 000171,Distributor,WARE-MKL1006,2018-10-04,2018-08-06,2018-06-14,2018-06-15,USD,24,4,333,14,5,0.05,1078.7,506.989,2534.9449999999997,5123.825000000001,2588.880000000001
71,SO - 000172,Wholesale,WARE-NMK1003,2018-10-04,2018-08-06,2018-06-13,2018-06-20,USD,28,6,96,10,8,0.15,1005.0,743.7,5949.6,6834.0,884.3999999999996
72,SO - 000173,Distributor,WARE-PUJ1005,2018-10-04,2018-08-06,2018-03-07,2018-09-07,USD,24,17,289,45,5,0.05,2485.7,1317.421,6587.1050000000005,11807.074999999997,5219.969999999997
73,SO - 000174,In-Store,WARE-NMK1003,2018-10-04,2018-08-06,2018-06-30,2018-06-07,USD,3,7,140,22,3,0.05,2659.9,2154.519,6463.556999999999,7580.714999999999,1117.1580000000004
74,SO - 000175,In-Store,WARE-NMK1003,2018-10-04,2018-09-06,2018-06-28,2018-03-07,USD,1,1,107,1,1,0.075,2224.4,1579.324,1579.324,2057.57,478.2460000000001
75,SO - 000176,In-Store,WARE-MKL1006,2018-10-04,2018-09-06,2018-12-06,2018-06-16,USD,11,27,338,35,7,0.2,2472.3,1260.873,8826.111,13844.880000000001,5018.769
76,SO - 000177,In-Store,WARE-UHY1004,2018-10-04,2018-09-06,2018-06-23,2018-06-24,USD,5,33,232,15,5,0.05,1011.7,799.243,3996.215,4805.575,809.3599999999997
77,SO - 000178,Wholesale,WARE-UHY1004,2018-10-04,2018-09-06,2018-05-07,2018-07-13,USD,26,28,231,28,6,0.2,234.5,128.975,773.8499999999999,1125.6000000000001,351.7500000000002
78,SO - 000179,Online,WARE-NMK1003,2018-10-04,2018-09-06,2018-06-14,2018-06-17,USD,13,42,158,11,4,0.075,261.3,143.715,574.86,966.8100000000001,391.95000000000005
79,SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-09-06,2018-06-27,2018-01-07,USD,18,5,36,29,7,0.1,4006.6,2844.686,19912.802,25241.58,5328.778000000002
80,SO - 000181,In-Store,WARE-UHY1004,2018-10-04,2018-09-06,2018-05-07,2018-07-13,USD,3,10,206,28,7,0.05,1333.3,866.645,6066.514999999999,8866.445,2799.9300000000003
81,SO - 000182,In-Store,WARE-UHY1004,2018-10-04,2018-10-06,2018-07-07,2018-09-07,USD,10,34,255,15,5,0.05,167.5,90.45,452.25,795.625,343.375
82,SO - 000183,Online,WARE-MKL1006,2018-10-04,2018-10-06,2018-06-28,2018-02-07,USD,14,23,336,27,7,0.075,3195.9,1821.663,12751.641,20693.452500000003,7941.811500000003
83,SO - 000184,Online,WARE-PUJ1005,2018-10-04,2018-10-06,2018-06-30,2018-05-07,USD,20,18,307,15,1,0.05,1051.9,809.963,809.963,999.3050000000001,189.3420000000001
84,SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-10-06,2018-06-30,2018-03-07,USD,15,8,9,28,4,0.1,5447.1,3540.615,14162.46,19609.56,5447.100000000002
85,SO - 000186,Online,WARE-NMK1003,2018-10-04,2018-10-06,2018-06-16,2018-06-24,USD,13,36,200,18,2,0.075,3182.5,1973.15,3946.3,5887.625,1941.3249999999998
86,SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-11-06,2018-06-29,2018-01-07,USD,6,47,337,30,3,0.1,891.1,632.681,1898.0430000000001,2405.9700000000003,507.92700000000013
87,SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-11-06,2018-06-16,2018-06-19,USD,15,27,158,31,2,0.2,3892.7,2724.89,5449.78,6228.32,778.54
88,SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-11-06,2018-06-13,2018-06-16,USD,13,5,249,8,2,0.4,3953.0,3360.05,6720.1,4743.599999999999,-1976.500000000001
89,SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-11-06,2018-06-28,2018-07-07,USD,20,38,185,5,2,0.3,924.6,545.514,1091.028,1294.44,203.41200000000003
90,SO - 000191,Online,WARE-NMK1003,2018-10-04,2018-11-06,2018-07-07,2018-08-07,USD,20,21,189,10,7,0.3,3430.4,1989.632,13927.424,16808.96,2881.5359999999982
91,SO - 000192,Distributor,WARE-NMK1003,2018-10-04,2018-11-06,2018-06-28,2018-06-07,USD,22,24,170,43,7,0.075,1152.4,622.296,4356.072,7461.79,3105.718
92,SO - 000193,Distributor,WARE-NMK1003,2018-10-04,2018-11-06,2018-06-21,2018-06-24,USD,21,25,130,37,4,0.11,1085.4,922.59,3690.36,3864.0240000000003,173.66400000000021
93,SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-12-06,2018-06-16,2018-06-22,USD,5,11,149,15,5,0.1,5031.7,4025.36,20126.8,22642.649999999998,2515.8499999999985
94,SO - 000195,Distributor,WARE-NMK1003,2018-10-04,2018-12-06,2018-06-28,2018-03-07,USD,24,17,99,33,7,0.15,1092.1,436.84,3057.8799999999997,6497.994999999999,3440.1149999999993
95,SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-12-06,2018-06-25,2018-06-27,USD,27,5,21,17,7,0.05,187.6,144.452,1011.164,1247.54,236.37599999999998
96,SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-12-06,2018-09-07,2018-07-16,USD,18,30,90,1,4,0.05,3993.2,2835.172,11340.688,15174.159999999998,3833.471999999998
97,SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-12-06,2018-06-15,2018-06-18,USD,14,9,360,15,5,0.05,2472.3,1433.934,7169.67,11743.425,4573.754999999999
98,SO - 000199,In-Store,WARE-XYS1001,2018-10-04,2018-12-06,2018-05-07,2018-07-14,USD,4,47,23,47,4,0.05,1206.0,844.2,3376.8,4582.8,1206.0
99,SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-12-06,2018-06-22,2018-06-29,USD,20,5,144,40,5,0.05,2541.81,985.302,4926.51,12073.597499999998,7147.087499999998
100,SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-12-06,2018-06-20,2018-06-29,USD,28,23,134,23,7,0.075,1983.2,1447.736,10134.152,12841.220000000001,2707.068000000001
101,SO - 000202,Online,WARE-NMK1003,2018-10-04,2018-12-06,2018-10-07,2018-07-14,USD,20,14,180,11,2,0.2,5313.1,2656.55,5313.1,8500.960000000001,3187.8600000000006
102,SO - 000203,Distributor,WARE-XYS1001,2018-10-04,2018-12-06,2018-06-17,2018-06-25,USD,20,44,58,23,5,0.075,871.0,566.15,2830.75,4028.3750000000005,1197.6250000000005
103,SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-27,2018-01-07,USD,12,38,175,43,2,0.1,2532.6,2051.406,4102.812,4558.68,455.8680000000004
104,SO - 000205,Online,WARE-NMK1003,2018-10-04,2018-06-13,2018-06-25,2018-06-26,USD,14,14,95,1,4,0.075,5916.1,4673.719,18694.876,21889.570000000003,3194.694000000003
105,SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-23,2018-01-07,USD,13,34,231,31,1,0.075,2887.7,1443.85,1443.85,2671.1225,1227.2725
106,SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-20,2018-06-22,USD,1,13,199,11,7,0.1,1855.9,1447.602,10133.214,11692.170000000002,1558.956000000002
107,SO - 000208,In-Store,WARE-XYS1001,2018-10-04,2018-06-13,2018-06-17,2018-06-19,USD,2,5,58,39,5,0.12,207.7,135.005,675.025,913.8799999999999,238.8549999999999
108,SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-13,2018-06-29,2018-06-07,USD,2,2,345,3,3,0.05,1058.6,772.778,2318.334,3017.0099999999993,698.6759999999995
109,SO - 000210,Online,WARE-UHY1004,2018-10-04,2018-06-13,2018-03-07,2018-07-13,USD,13,17,241,20,7,0.1,958.1,517.374,3621.6180000000004,6036.030000000001,2414.4120000000003
110,SO - 000211,In-Store,WARE-NMK1003,2018-10-04,2018-06-13,2018-08-07,2018-07-18,USD,6,40,186,27,7,0.2,2659.9,1675.737,11730.159,14895.44,3165.281000000001
111,SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-05-07,2018-07-13,USD,7,15,144,8,3,0.1,2217.7,1707.629,5122.887,5987.789999999999,864.9029999999993
112,SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-17,2018-06-20,USD,20,12,40,11,1,0.3,1715.2,857.6,857.6,1200.6399999999999,343.03999999999985
113,SO - 000214,In-Store,WARE-PUJ1005,2018-10-04,2018-06-14,2018-06-07,2018-09-07,USD,6,25,288,32,7,0.15,3932.9,1691.147,11838.028999999999,23400.755,11562.726000000002
114,SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,2018-06-20,USD,2,13,169,40,2,0.05,2546.0,1909.5,3819.0,4837.4,1018.3999999999996
115,SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-01-07,USD,15,18,277,21,1,0.075,837.5,603.0,603.0,774.6875,171.6875
116,SO - 000217,Online,WARE-UHY1004,2018-10-04,2018-06-14,2018-06-26,2018-05-07,USD,16,3,219,12,3,0.15,1809.0,1302.48,3907.44,4612.95,705.5099999999998
117,SO - 000218,Wholesale,WARE-PUJ1005,2018-10-04,2018-06-14,2018-06-29,2018-03-07,USD,26,25,306,11,8,0.075,857.6,514.56,4116.48,6346.240000000001,2229.760000000001
118,SO - 000219,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-30,2018-07-07,USD,8,11,7,22,6,0.05,1748.7,1101.681,6610.086,9967.59,3357.504
119,SO - 000220,Wholesale,WARE-NBV1002,2017-12-31,2018-06-14,2018-06-16,2018-06-17,USD,28,44,78,4,1,0.075,1266.3,1636.66,1636.66,1171.3275,-465.3325
120,SO - 000221,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-16,2018-06-22,USD,3,30,28,9,5,0.1,5058.5,3591.535,17957.675,22763.250000000004,4805.575000000004
121,SO - 000222,Distributor,WARE-XYS1001,2018-10-04,2018-06-14,2018-06-28,2018-06-07,USD,22,38,39,6,7,0.05,958.1,795.223,5566.561,6371.365,804.8040000000001
122,SO - 000223,Online,WARE-NMK1003,2017-12-31,2018-06-14,2018-10-07,2018-07-14,USD,19,47,122,2,8,0.15,1802.3,756.966,6055.728,12255.64,6199.911999999999
123,SO - 000224,In-Store,WARE-XYS1001,2018-10-04,2018-06-15,2018-07-07,2018-07-16,USD,4,17,48,32,4,0.075,6298.0,4534.56,18138.24,23302.600000000002,5164.360000000001
124,SO - 000225,Online,WARE-XYS1001,2017-12-31,2018-06-15,2018-02-07,2018-06-07,USD,18,28,1,30,1,0.1,2499.1,1824.343,1824.343,2249.19,424.847
125,SO - 000226,In-Store,WARE-NMK1003,2018-10-04,2018-06-15,2018-06-19,2018-06-23,USD,8,5,198,23,3,0.1,871.0,705.51,2116.5299999999997,2351.7,235.17000000000007
126,SO - 000227,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-12-07,2018-07-18,USD,1,32,242,5,1,0.05,750.4,360.192,360.192,712.88,352.688
127,SO - 000228,Wholesale,WARE-NMK1003,2018-10-04,2018-06-15,2018-06-23,2018-06-27,USD,27,21,200,14,8,0.075,763.8,504.108,4032.864,5652.12,1619.2559999999999
128,SO - 000229,In-Store,WARE-PUJ1005,2017-12-31,2018-06-15,2018-06-26,2018-02-07,USD,5,49,304,25,6,0.1,844.2,565.614,3393.684,4558.68,1164.996
129,SO - 000230,In-Store,WARE-XYS1001,2018-10-04,2018-06-15,2018-05-07,2018-07-14,USD,2,6,31,27,7,0.05,261.3,112.359,786.5129999999999,1737.645,951.1320000000001
130,SO - 000231,Online,WARE-NBV1002,2017-12-31,2018-06-15,2018-06-07,2018-07-16,USD,19,47,71,33,2,0.05,3999.9,2359.941,4719.882,7599.8099999999995,2879.928
131,SO - 000232,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-06-25,2018-03-07,USD,4,32,250,18,6,0.05,1112.2,811.906,4871.436,6339.539999999999,1468.1039999999994
132,SO - 000233,In-Store,WARE-NMK1003,2018-10-04,2018-06-15,2018-06-26,2018-04-07,USD,10,18,167,2,2,0.075,2633.1,1843.17,3686.34,4871.235,1184.8949999999995
133,SO - 000234,Distributor,WARE-NMK1003,2017-12-31,2018-06-15,2018-09-07,2018-07-13,USD,22,8,132,4,6,0.2,1018.4,631.408,3788.4480000000003,4888.32,1099.8719999999994
134,SO - 000235,In-Store,WARE-XYS1001,2018-10-04,2018-06-15,2018-06-27,2018-06-30,USD,1,24,56,21,4,0.15,5219.3,3444.738,13778.952,17745.62,3966.6679999999997
135,SO - 000236,Distributor,WARE-UHY1004,2018-10-04,2018-06-15,2018-07-13,2018-07-20,USD,21,11,259,26,1,0.15,3999.9,2359.941,2359.941,3399.915,1039.9740000000002
136,SO - 000237,Online,WARE-MKL1006,2018-10-04,2018-06-16,2018-06-27,2018-01-07,USD,20,50,341,25,5,0.4,1721.9,1084.797,5423.985000000001,5165.700000000001,-258.28499999999985
137,SO - 000238,In-Store,WARE-NMK1003,2017-12-31,2018-06-16,2018-05-07,2018-12-07,USD,10,7,195,37,6,0.15,737.0,456.94,2741.64,3758.7,1017.06
138,SO - 000239,Online,WARE-XYS1001,2018-10-04,2018-06-16,2018-07-07,2018-07-15,USD,19,2,33,40,3,0.05,1219.4,695.058,2085.174,3475.29,1390.116
139,SO - 000240,In-Store,WARE-PUJ1005,2017-12-31,2018-06-16,2018-12-07,2018-07-17,USD,2,18,279,41,8,0.05,891.1,712.88,5703.04,6772.36,1069.3199999999997
140,SO - 000241,In-Store,WARE-NMK1003,2018-10-04,2018-06-16,2018-07-14,2018-07-18,USD,7,28,148,9,1,0.15,978.2,743.432,743.432,831.47,88.03800000000001
